7261 東証1部 マツダ(株)（輸送用機器）,,,,,
"2018-04-25","1491","1511.5","1488.5","1509.5","4050500","1509.5"
"2018-04-26","1500","1533","1496","1525","7717200","1525"
"2018-04-27","1533.5","1542","1509","1521.5","5069600","1521.5"
"2018-05-01","1465.5","1499","1458.5","1499","6169800","1499"
"2018-05-02","1485","1489.5","1457.5","1464","6698900","1464"
"2018-05-07","1466","1467","1453.5","1457.5","3975000","1457.5"
"2018-05-08","1450","1471","1449.5","1462","3714900","1462"
"2018-05-09","1459","1463","1442.5","1452.5","4499500","1452.5"
"2018-05-10","1445","1454.5","1443.5","1448.5","3773900","1448.5"
"2018-05-11","1445","1471","1444.5","1463.5","4440300","1463.5"
"2018-05-14","1449","1454","1440.5","1451","3595300","1451"
"2018-05-15","1435","1454.5","1433","1447.5","3560000","1447.5"
"2018-05-16","1441","1463","1440.5","1457","4073600","1457"
"2018-05-17","1464","1477","1462","1469","3190500","1469"
"2018-05-18","1465.5","1472","1458.5","1471","3270100","1471"
"2018-05-21","1476","1492","1473.5","1483.5","3980600","1483.5"
"2018-05-22","1492","1492","1480","1486.5","3106500","1486.5"
"2018-05-23","1484","1488","1469","1476.5","3987300","1476.5"
"2018-05-24","1461.5","1464","1391","1399.5","12880700","1399.5"
"2018-05-25","1390","1412","1383","1403","5707000","1403"
"2018-05-28","1414","1423.5","1404","1410","3501400","1410"
"2018-05-29","1404","1406.5","1389","1400","4079800","1400"
"2018-05-30","1361","1373","1351","1371","7049800","1371"
"2018-05-31","1392","1393.5","1362","1370","5934200","1370"
"2018-06-01","1385","1401.5","1366","1386","7053800","1386"
"2018-06-04","1395.5","1419.5","1395","1406.5","4126900","1406.5"
"2018-06-05","1415","1419.5","1402","1407.5","2991300","1407.5"
"2018-06-06","1395","1416.5","1393","1409.5","3144300","1409.5"
"2018-06-07","1417.5","1443","1417","1429","5588900","1429"
"2018-06-08","1429","1440.5","1420.5","1422.5","4184200","1422.5"
"2018-06-11","1410.5","1414","1397.5","1409.5","3572600","1409.5"
"2018-06-12","1435.5","1439","1415","1416.5","3715100","1416.5"
"2018-06-13","1428","1444","1428","1429.5","3881100","1429.5"
"2018-06-14","1421","1424","1411.5","1417","3197300","1417"
"2018-06-15","1423","1426","1410","1425","3647900","1425"
"2018-06-18","1415","1415","1397","1412","3751800","1412"
"2018-06-19","1368","1394","1363.5","1385","5535900","1385"
"2018-06-20","1378","1388","1367","1383.5","4467300","1383.5"
"2018-06-21","1378","1384.5","1368.5","1378.5","3044300","1378.5"
"2018-06-22","1353.5","1371.5","1345","1368.5","6858600","1368.5"
"2018-06-25","1359.5","1368","1351","1353.5","3556400","1353.5"
"2018-06-26","1346","1369","1340","1361.5","4016600","1361.5"
"2018-06-27","1350","1357","1338.5","1352","4277300","1352"
"2018-06-28","1352","1366.5","1342","1358.5","3670400","1358.5"
"2018-06-29","1358","1360","1347","1360","3390700","1360"
"2018-07-02","1348","1359.5","1340","1344","4426500","1344"
"2018-07-03","1341","1341.5","1320","1330.5","4643400","1330.5"
"2018-07-04","1320","1333.5","1312.5","1322.5","3278800","1322.5"
"2018-07-05","1325","1340.5","1324","1329","3217800","1329"
"2018-07-06","1324.5","1330.5","1312.5","1326","6400400","1326"
"2018-07-09","1328","1336.5","1317","1328","3074100","1328"
"2018-07-10","1341","1349.5","1331","1332","3055800","1332"
"2018-07-11","1327","1327","1302","1317","4832400","1317"
"2018-07-12","1324.5","1328","1312.5","1324.5","3468200","1324.5"
"2018-07-13","1320","1333.5","1316.5","1327.5","3128300","1327.5"
"2018-07-17","1332","1358","1331","1349.5","4303700","1349.5"
"2018-07-18","1379.5","1379.5","1361.5","1368.5","4046000","1368.5"
"2018-07-19","1362","1369","1355.5","1363.5","2618900","1363.5"
"2018-07-20","1354","1375","1353.5","1372","4251900","1372"
"2018-07-23","1349.5","1356","1340","1353","4091900","1353"
"2018-07-24","1366.5","1375","1360","1362.5","2856600","1362.5"
"2018-07-25","1367.5","1372","1361.5","1364","2214200","1364"
"2018-07-26","1379","1387","1370.5","1373.5","3737500","1373.5"
"2018-07-27","1374","1379.5","1370.5","1375.5","2288500","1375.5"
"2018-07-30","1384.5","1395.5","1380.5","1386.5","3732300","1386.5"
"2018-07-31","1407.5","1410.5","1386","1390","6400800","1390"
"2018-08-01","1386","1396","1378","1394.5","3983000","1394.5"
"2018-08-02","1370.5","1388.5","1345","1345.5","9449400","1345.5"
"2018-08-03","1351","1353.5","1331","1333.5","4651300","1333.5"
"2018-08-06","1334.5","1349.5","1331.5","1336","3068200","1336"
"2018-08-07","1331","1348","1330.5","1344","3167800","1344"
"2018-08-08","1344.5","1346.5","1341","1344.5","3259400","1344.5"
"2018-08-09","1320.5","1332","1320","1327","4554800","1327"
"2018-08-10","1326","1331","1314.5","1320","3486000","1320"
"2018-08-13","1310","1310","1292","1294","4847200","1294"
"2018-08-14","1307.5","1307.5","1295.5","1298.5","2616600","1298.5"
"2018-08-15","1296","1302.5","1280","1287.5","3720500","1287.5"
"2018-08-16","1272","1287.5","1266","1284.5","4005200","1284.5"
"2018-08-17","1287.5","1295","1284","1287","3188800","1287"
"2018-08-20","1275.5","1287","1273.5","1279","2731400","1279"
"2018-08-21","1275.5","1283","1264.5","1274.5","4327700","1274.5"
"2018-08-22","1264.5","1298","1260","1296.5","5647400","1296.5"
"2018-08-23","1292.5","1299.5","1287","1289","3409300","1289"
"2018-08-24","1277.5","1290","1264.5","1272.5","5724200","1272.5"
"2018-08-27","1273","1290","1269.5","1287","3293200","1287"
"2018-08-28","1325","1340.5","1305","1309","7263400","1309"
"2018-08-29","1297","1306","1293","1303.5","3975600","1303.5"
"2018-08-30","1301","1305","1290","1290","3935600","1290"
"2018-08-31","1276","1291","1267.5","1288.5","4141900","1288.5"
"2018-09-03","1282.5","1286.5","1268","1271.5","3041800","1271.5"
"2018-09-04","1271","1272","1253","1259","3489000","1259"
"2018-09-05","1252.5","1255","1243.5","1244","4386500","1244"
"2018-09-06","1238","1259.5","1235.5","1247","3542500","1247"
"2018-09-07","1230","1234.5","1225","1232","4039700","1232"
"2018-09-10","1229","1241.5","1227.5","1235","2508400","1235"
"2018-09-11","1230.5","1239.5","1225.5","1235.5","2161700","1235.5"
"2018-09-12","1236","1246.5","1231.5","1238","3328800","1238"
"2018-09-13","1242.5","1273","1241.5","1263","4697600","1263"
"2018-09-14","1265","1289","1262","1287","6109000","1287"
"2018-09-18","1289","1316.5","1279.5","1310","5921600","1310"
"2018-09-19","1333.5","1339.5","1319.5","1322.5","4652300","1322.5"
"2018-09-20","1336","1338.5","1323","1334","4543000","1334"
"2018-09-21","1342","1359","1340.5","1359","7264200","1359"
"2018-09-25","1331","1353","1313","1353","5331000","1353"
"2018-09-26","1332","1335.5","1318","1334","4004300","1334"
"2018-09-27","1363","1382","1339","1340","6941100","1340"
"2018-09-28","1353.5","1367","1342.5","1364","5843200","1364"
"2018-10-01","1363","1363.5","1347","1358.5","3111900","1358.5"
"2018-10-02","1368","1376","1360.5","1364.5","3701000","1364.5"
"2018-10-03","1342.5","1347.5","1331","1337","5351900","1337"
"2018-10-04","1353","1365.5","1339.5","1341.5","4810800","1341.5"
"2018-10-05","1322","1344","1320.5","1341.5","3675100","1341.5"
"2018-10-09","1320","1327.5","1309","1320.5","4641500","1320.5"
"2018-10-10","1322.5","1325","1302.5","1306","4349400","1306"
"2018-10-11","1250","1290.5","1250","1286","7319600","1286"
"2018-10-12","1272.5","1294.5","1272.5","1286.5","4891700","1286.5"
"2018-10-15","1270","1273.5","1256","1268","3773100","1268"
"2018-10-16","1272.5","1287.5","1272","1281","3148000","1281"
"2018-10-17","1294.5","1295.5","1280","1287","2958200","1287"
"2018-10-18","1280.5","1295.5","1274","1279","2831800","1279"
"2018-10-19","1260","1271","1255.5","1268.5","3675900","1268.5"
"2018-10-22","1262","1271","1254.5","1266","3097100","1266"
"2018-10-23","1255.5","1264","1243","1247","4367000","1247"
"2018-10-24","1262","1271.5","1246","1248","6074900","1248"
"2018-10-25","1215","1219","1200","1212","7305800","1212"
"2018-10-26","1219.5","1219.5","1187.5","1192","7359200","1192"
"2018-10-29","1197.5","1220.5","1190","1190","5399700","1190"
"2018-10-30","1185","1214.5","1182","1200","4638700","1200"
"2018-10-31","1215","1228","1210","1224","5722900","1224"
"2018-11-01","1203","1229","1202","1215.5","5530300","1215.5"
"2018-11-02","1213","1235","1200.5","1228","5789600","1228"
"2018-11-05","1211.5","1223","1198","1214","4340300","1214"
"2018-11-06","1208","1239.5","1204.5","1229.5","4565600","1229.5"
"2018-11-07","1229","1248","1212.5","1220","4368500","1220"
"2018-11-08","1238.5","1241","1224","1227","3496600","1227"
"2018-11-09","1228","1228.5","1207","1212","4884200","1212"
"2018-11-12","1201","1208.5","1194","1204.5","4532700","1204.5"
"2018-11-13","1185","1187","1166.5","1183","7245900","1183"
"2018-11-14","1187","1221","1182","1209.5","6783300","1209.5"
"2018-11-15","1207.5","1213.5","1197.5","1208","2983500","1208"
"2018-11-16","1205.5","1209.5","1181","1186.5","5437000","1186.5"
"2018-11-19","1180","1187.5","1170.5","1179.5","4402000","1179.5"
"2018-11-20","1160","1178.5","1156","1178.5","3648000","1178.5"
"2018-11-21","1148.5","1168","1147","1163","4374900","1163"
"2018-11-22","1165.5","1181.5","1161","1178","3363000","1178"
"2018-11-26","1184.5","1203","1181.5","1199","4356700","1199"
"2018-11-27","1215","1227","1214","1219","4836200","1219"
"2018-11-28","1216.5","1221","1198","1219.5","4614200","1219.5"
"2018-11-29","1224","1236","1218","1227","5094200","1227"
"2018-11-30","1211.5","1227.5","1198","1210","7355600","1210"
"2018-12-03","1225.5","1262.5","1224.5","1249.5","6901000","1249.5"
"2018-12-04","1239.5","1250","1230","1235","5356800","1235"
"2018-12-05","1212","1233.5","1210","1228.5","4144800","1228.5"
"2018-12-06","1225","1233.5","1215.5","1223.5","4333200","1223.5"
"2018-12-07","1229.5","1248","1222","1240.5","5975000","1240.5"
"2018-12-10","1223.5","1227.5","1208.5","1220.5","4295800","1220.5"
"2018-12-11","1219","1220","1194","1204.5","4059200","1204.5"
"2018-12-12","1218.5","1246","1216.5","1227","4881800","1227"
"2018-12-13","1250","1266.5","1238.5","1259.5","5958600","1259.5"
"2018-12-14","1250.5","1260.5","1234","1241","4389800","1241"
"2018-12-17","1241","1248","1228","1232.5","3500600","1232.5"
"2018-12-18","1222","1245.5","1213.5","1229.5","4162300","1229.5"
"2018-12-19","1229","1239.5","1222","1233.5","4270200","1233.5"
"2018-12-20","1218","1223.5","1193.5","1200.5","5890400","1200.5"
"2018-12-21","1181","1193","1171","1178","5306200","1178"
"2018-12-25","1129","1134","1078.5","1083","7046100","1083"
"2018-12-26","1086.5","1105.5","1069.5","1085.5","6126500","1085.5"
"2018-12-27","1134.5","1146.5","1122","1142.5","6164900","1142.5"
"2018-12-28","1128.5","1149.5","1123.5","1135","3481500","1135"
