7261 東証1部 マツダ(株)（輸送用機器）,,,,,
"2017-05-01","1583.5","1595","1564","1587.5","10156400","1587.5"
"2017-05-02","1597","1614.5","1594.5","1603","5729600","1603"
"2017-05-08","1626","1643.5","1611.5","1634","8281700","1634"
"2017-05-09","1621","1625","1593.5","1600.5","7808500","1600.5"
"2017-05-10","1605.5","1615.5","1595","1601.5","4686200","1601.5"
"2017-05-11","1601","1601.5","1573","1594.5","5225100","1594.5"
"2017-05-12","1591","1592.5","1570.5","1578","4467300","1578"
"2017-05-15","1575","1580","1559.5","1580","5141800","1580"
"2017-05-16","1570","1575.5","1550","1555","7623100","1555"
"2017-05-17","1534","1558","1522","1545.5","5837700","1545.5"
"2017-05-18","1495","1522.5","1495","1511","7977300","1511"
"2017-05-19","1513","1536","1505.5","1532","5915700","1532"
"2017-05-22","1536","1548","1520.5","1542","4194700","1542"
"2017-05-23","1536","1538","1524.5","1527","4122000","1527"
"2017-05-24","1553.5","1556","1525","1533.5","4143300","1533.5"
"2017-05-25","1533.5","1543.5","1521.5","1530","3052000","1530"
"2017-05-26","1532","1533.5","1518.5","1523","3139500","1523"
"2017-05-29","1523","1524","1508","1514","3359300","1514"
"2017-05-30","1516","1522","1503","1519.5","3833100","1519.5"
"2017-05-31","1511.5","1518.5","1502.5","1510","4140400","1510"
"2017-06-01","1504.5","1533","1499","1522","5552900","1522"
"2017-06-02","1530","1566","1527","1558","7412300","1558"
"2017-06-05","1530","1534","1512.5","1517","8677700","1517"
"2017-06-06","1515","1548","1511.5","1521.5","7857900","1521.5"
"2017-06-07","1516","1550","1515.5","1542.5","4601500","1542.5"
"2017-06-08","1550","1552.5","1519","1520","4929700","1520"
"2017-06-09","1524","1540","1519","1531","5839600","1531"
"2017-06-12","1526.5","1537.5","1520.5","1526.5","3301600","1526.5"
"2017-06-13","1523","1536.5","1511","1531.5","3578700","1531.5"
"2017-06-14","1538.5","1540","1523","1526","4560300","1526"
"2017-06-15","1520","1524","1496","1498.5","5827100","1498.5"
"2017-06-16","1510","1525.5","1500.5","1512.5","7363500","1512.5"
"2017-06-19","1500","1504","1488","1494","6297200","1494"
"2017-06-20","1508.5","1522.5","1498.5","1498.5","6110000","1498.5"
"2017-06-21","1495","1503.5","1488","1496.5","3766700","1496.5"
"2017-06-22","1492","1505.5","1490.5","1499.5","5175400","1499.5"
"2017-06-23","1505","1513.5","1504","1511","3834800","1511"
"2017-06-26","1510","1517","1507","1511","2540100","1511"
"2017-06-27","1517.5","1533","1514.5","1525","4710200","1525"
"2017-06-28","1532","1554.5","1529.5","1549","6481500","1549"
"2017-06-29","1557.5","1561.5","1530.5","1556.5","6745200","1556.5"
"2017-06-30","1545","1569.5","1544.5","1568","5599900","1568"
"2017-07-03","1573","1574","1558","1560","3891600","1560"
"2017-07-04","1579.5","1615","1579","1590","9883000","1590"
"2017-07-05","1602","1621","1589","1605","7483100","1605"
"2017-07-06","1603","1609.5","1591","1608.5","4810400","1608.5"
"2017-07-07","1598","1631.5","1594","1629","8185600","1629"
"2017-07-10","1640","1645.5","1614","1620","5158400","1620"
"2017-07-11","1619","1628","1617.5","1623.5","2928000","1623.5"
"2017-07-12","1609.5","1612.5","1591","1609.5","6250700","1609.5"
"2017-07-13","1610","1612.5","1579","1584.5","5667000","1584.5"
"2017-07-14","1591","1616","1591","1608","5354400","1608"
"2017-07-18","1595.5","1603","1585.5","1600","4517500","1600"
"2017-07-19","1592","1593","1575.5","1588","3985400","1588"
"2017-07-20","1594.5","1620","1591","1606.5","5687600","1606.5"
"2017-07-21","1601","1613.5","1593","1597.5","3584600","1597.5"
"2017-07-24","1582.5","1589.5","1568","1585.5","3512700","1585.5"
"2017-07-25","1592","1611","1587.5","1588","3286900","1588"
"2017-07-26","1650","1681.5","1636.5","1672","15624900","1672"
"2017-07-27","1665","1671.5","1654","1663","5404100","1663"
"2017-07-28","1661.5","1676","1656","1661","4623900","1661"
"2017-07-31","1665","1676","1657","1664.5","4912000","1664.5"
"2017-08-01","1666","1667.5","1652.5","1665.5","3972000","1665.5"
"2017-08-02","1660.5","1660.5","1637.5","1639.5","6396500","1639.5"
"2017-08-03","1652","1672.5","1625.5","1642.5","7491900","1642.5"
"2017-08-04","1700","1738.5","1681","1688.5","18162800","1688.5"
"2017-08-07","1707","1729","1702.5","1711.5","7189900","1711.5"
"2017-08-08","1705","1710","1680.5","1689","5190700","1689"
"2017-08-09","1695","1696","1653","1669","6666200","1669"
"2017-08-10","1669","1675","1659.5","1664","3962300","1664"
"2017-08-14","1650.5","1652","1622.5","1630.5","5844400","1630.5"
"2017-08-15","1649","1676.5","1646.5","1650.5","6545900","1650.5"
"2017-08-16","1648.5","1653","1637.5","1645.5","3653700","1645.5"
"2017-08-17","1624.5","1631.5","1612.5","1630","5490800","1630"
"2017-08-18","1608.5","1616","1598.5","1615.5","5158500","1615.5"
"2017-08-21","1605.5","1607","1590.5","1593.5","4158700","1593.5"
"2017-08-22","1588","1599","1581.5","1598","4145100","1598"
"2017-08-23","1615.5","1619.5","1590","1592.5","3794200","1592.5"
"2017-08-24","1585","1599.5","1582","1592","3254300","1592"
"2017-08-25","1605.5","1629.5","1596.5","1607","4858800","1607"
"2017-08-28","1605","1607","1588.5","1597","3848200","1597"
"2017-08-29","1585","1595","1581.5","1588","2789500","1588"
"2017-08-30","1601.5","1606.5","1594.5","1594.5","3826000","1594.5"
"2017-08-31","1613","1624.5","1608.5","1619","4626100","1619"
"2017-09-01","1625","1632","1610","1619","3030300","1619"
"2017-09-04","1600.5","1601.5","1577","1584.5","6381500","1584.5"
"2017-09-05","1595","1595","1562.5","1569.5","5022600","1569.5"
"2017-09-06","1550","1556","1543","1554","4778500","1554"
"2017-09-07","1561","1575","1555","1559","4256700","1559"
"2017-09-08","1554","1569","1540.5","1543","5454100","1543"
"2017-09-11","1557.5","1579.5","1555.5","1569.5","4120900","1569.5"
"2017-09-12","1587.5","1595","1585","1590","3595800","1590"
"2017-09-13","1608","1616","1600.5","1608","3883500","1608"
"2017-09-14","1613","1613","1591","1596.5","3980900","1596.5"
"2017-09-15","1591","1624.5","1585.5","1623.5","5112000","1623.5"
"2017-09-19","1657","1662.5","1643.5","1659","6874600","1659"
"2017-09-20","1656","1674.5","1654","1660.5","4298900","1660.5"
"2017-09-21","1675","1693","1675","1685.5","5553500","1685.5"
"2017-09-22","1695","1695.5","1668","1682.5","4989100","1682.5"
"2017-09-25","1698","1698","1682","1686","3062000","1686"
"2017-09-26","1679","1696","1678","1693","4303000","1693"
"2017-09-27","1686.5","1695","1676","1688","3529800","1688"
"2017-09-28","1699.5","1758.5","1692","1740","13212500","1740"
"2017-09-29","1725","1734.5","1714.5","1725","6436000","1725"
"2017-10-02","1719.5","1723","1700.5","1718","4187000","1718"
"2017-10-03","1725","1746.5","1723","1743.5","5089100","1743.5"
"2017-10-04","1755","1783.5","1729.5","1734","6164900","1734"
"2017-10-05","1740","1742.5","1708","1712.5","4881000","1712.5"
"2017-10-06","1719.5","1738.5","1717","1730","3992300","1730"
"2017-10-10","1714.5","1724","1694.5","1707","5387200","1707"
"2017-10-11","1698","1700","1665.5","1673","8445600","1673"
"2017-10-12","1679","1682","1651.5","1657.5","6387700","1657.5"
"2017-10-13","1617.5","1630","1601.5","1620.5","11544600","1620.5"
"2017-10-16","1618","1619.5","1594.5","1607.5","9163100","1607.5"
"2017-10-17","1621.5","1624.5","1613","1614","4637700","1614"
"2017-10-18","1613","1613.5","1598","1607","7131400","1607"
"2017-10-19","1619","1621.5","1599","1600.5","7088700","1600.5"
"2017-10-20","1595","1599.5","1583","1597","5319900","1597"
"2017-10-23","1612.5","1619.5","1607.5","1610.5","5468600","1610.5"
"2017-10-24","1601.5","1629","1598","1625.5","6231400","1625.5"
"2017-10-25","1640","1642.5","1618.5","1623.5","5681600","1623.5"
"2017-10-26","1628.5","1644.5","1621","1636.5","4971500","1636.5"
"2017-10-27","1645.5","1647.5","1628","1637.5","5278400","1637.5"
"2017-10-30","1643.5","1648.5","1634","1636.5","4456600","1636.5"
"2017-10-31","1615.5","1624","1603.5","1622","6081700","1622"
"2017-11-01","1639","1644","1629","1633.5","4261100","1633.5"
"2017-11-02","1641","1657","1634","1653","6254400","1653"
"2017-11-06","1635","1637","1573","1582","18021400","1582"
"2017-11-07","1577","1598","1574.5","1585.5","6002700","1585.5"
"2017-11-08","1583.5","1584.5","1564","1577.5","6792200","1577.5"
"2017-11-09","1576","1585","1547.5","1562","11555000","1562"
"2017-11-10","1547","1564","1545.5","1558","5960300","1558"
"2017-11-13","1564","1570.5","1550.5","1552.5","5010000","1552.5"
"2017-11-15","1550","1558","1526.5","1538","5630400","1538"
"2017-11-16","1520","1533.5","1512","1517.5","7331800","1517.5"
"2017-11-17","1536","1545","1518","1522.5","6588800","1522.5"
"2017-11-20","1513.5","1532.5","1513","1522","4325000","1522"
"2017-11-21","1523.5","1538","1514","1516","5374400","1516"
"2017-11-22","1523","1532","1509.5","1512","5675700","1512"
"2017-11-24","1510","1512.5","1495","1502","6689400","1502"
"2017-11-27","1507","1516","1492","1494.5","4455700","1494.5"
"2017-11-28","1481","1485","1463","1474.5","8543200","1474.5"
"2017-11-29","1494.5","1498","1483.5","1488.5","4753800","1488.5"
"2017-11-30","1499.5","1516","1496","1503","7137600","1503"
"2017-12-01","1506.5","1507","1487.5","1500","5284200","1500"
"2017-12-04","1493.5","1500","1486.5","1492","4864600","1492"
"2017-12-05","1489.5","1503","1488","1500.5","3869800","1500.5"
"2017-12-06","1490","1490","1467.5","1473","7385300","1473"
"2017-12-07","1480.5","1491","1474","1478.5","4318400","1478.5"
"2017-12-08","1476.5","1492","1475","1480","7941500","1480"
"2017-12-11","1487","1502.5","1483.5","1500.5","5273100","1500.5"
"2017-12-12","1511.5","1528.5","1510","1521","5949600","1521"
"2017-12-13","1529","1539.5","1518.5","1523.5","5096000","1523.5"
"2017-12-14","1516.5","1517","1504.5","1515","3825200","1515"
"2017-12-15","1511","1511.5","1490.5","1500.5","4831200","1500.5"
"2017-12-18","1515","1518","1504","1510.5","4138000","1510.5"
"2017-12-19","1511.5","1521","1503","1505.5","4121100","1505.5"
"2017-12-20","1498","1510","1496","1505","3855000","1505"
"2017-12-21","1504","1506","1487","1498.5","4868800","1498.5"
"2017-12-22","1498","1505.5","1493.5","1501.5","3335300","1501.5"
"2017-12-25","1503","1515","1497","1501","2451900","1501"
"2017-12-26","1501","1506.5","1497","1498","3205500","1498"
"2017-12-27","1500","1523","1498","1515","4378500","1515"
"2017-12-28","1515","1519","1505","1508","2612100","1508"
"2017-12-29","1508","1516","1505.5","1511.5","2681400","1511.5"
