7261 東証1部 マツダ(株)（輸送用機器）,,,,,
"2019-03-11","1214.5","1231","1212.5","1224.5","2604400","1224.5"
"2019-03-12","1225","1253.5","1219","1247.5","3896100","1247.5"
"2019-03-13","1241.5","1254.5","1225.5","1230","2876400","1230"
"2019-03-14","1243","1250","1227.5","1228","1977800","1228"
"2019-03-15","1238","1247","1233.5","1238","3364400","1238"
"2019-03-18","1253.5","1263","1247","1258","2698600","1258"
"2019-03-19","1254","1257.5","1247","1251.5","1906600","1251.5"
"2019-03-20","1257","1258.5","1251.5","1256","1741100","1256"
"2019-03-22","1265","1270","1261","1264.5","3009900","1264.5"
"2019-03-25","1242.5","1244.5","1226.5","1239.5","3535700","1239.5"
"2019-03-26","1253","1274.5","1245","1271.5","4285400","1271.5"
"2019-03-27","1258","1266","1244","1253","3049400","1253"
"2019-03-28","1246.5","1247.5","1228.5","1242","3149600","1242"
"2019-03-29","1253.5","1254","1238","1238.5","3151600","1238.5"
"2019-04-01","1256","1274","1243.5","1265","4434000","1265"
"2019-04-02","1287","1299.5","1286","1291","4072900","1291"
"2019-04-03","1296.5","1298.5","1287.5","1293.5","2326600","1293.5"
"2019-04-04","1285","1295.5","1281.5","1290","2366900","1290"
"2019-04-05","1284.5","1309.5","1284","1307.5","2823000","1307.5"
"2019-04-08","1307.5","1308","1290","1295.5","2815500","1295.5"
"2019-04-09","1295.5","1334.5","1292","1332","6045200","1332"
"2019-04-10","1311","1323.5","1305.5","1316","3474100","1316"
"2019-04-11","1313","1328.5","1306","1320.5","3198100","1320.5"
"2019-04-12","1328.5","1328.5","1313.5","1318","2682400","1318"
"2019-04-15","1328","1328.5","1309.5","1314.5","3877600","1314.5"
"2019-04-16","1297","1320","1292.5","1315","3365000","1315"
"2019-04-17","1324","1349","1316.5","1347.5","4209600","1347.5"
"2019-04-18","1363","1370","1346.5","1349","3879600","1349"
"2019-04-19","1359.5","1359.5","1341","1345.5","1965000","1345.5"
"2019-04-22","1342","1345.5","1332.5","1336.5","1370600","1336.5"
"2019-04-23","1338.5","1342","1330.5","1338","1565000","1338"
"2019-04-24","1335.5","1342.5","1318","1322","3169900","1322"
"2019-04-25","1312.5","1327","1308.5","1324","1838500","1324"
"2019-04-26","1316","1317","1301.5","1315.5","2710000","1315.5"
"2019-05-07","1304","1316","1286.5","1305.5","3892900","1305.5"
"2019-05-08","1294","1305","1286.5","1298.5","4017500","1298.5"
"2019-05-09","1298.5","1301","1283","1292.5","3348800","1292.5"
"2019-05-10","1306","1322","1252","1263","7438300","1263"
"2019-05-13","1245","1254","1241","1246","3564900","1246"
"2019-05-14","1188","1222","1186","1220.5","5688700","1220.5"
"2019-05-15","1224","1226","1206.5","1218","3062800","1218"
"2019-05-16","1229.5","1229.5","1211","1216.5","3615700","1216.5"
"2019-05-17","1217","1218.5","1188","1207","3924900","1207"
"2019-05-20","1206","1211","1190","1204.5","2656000","1204.5"
"2019-05-21","1191","1198","1184.5","1192.5","3140000","1192.5"
"2019-05-22","1193","1201.5","1170.5","1175","5044400","1175"
"2019-05-23","1156","1166","1152.5","1157.5","3343400","1157.5"
"2019-05-24","1151","1164.5","1141.5","1162","3105000","1162"
