7201 東証1部 日産自動車(株)（輸送用機器）,,,,,
"2019-04-01","916","929.3","915.8","924.5","13493900","924.5"
"2019-04-02","928.3","936.6","926","932.7","13533300","932.7"
"2019-04-03","935.9","943.3","932","938.3","11291600","938.3"
"2019-04-04","938.3","946.6","938.3","943.7","9606000","943.7"
"2019-04-05","938.7","946.2","938","944.1","9042900","944.1"
"2019-04-08","943","943.4","933.4","936.3","7833600","936.3"
"2019-04-09","933.4","940.6","933.1","937.6","7831000","937.6"
"2019-04-10","931","931.4","923.2","926","9593500","926"
"2019-04-11","923.7","932.2","921.8","930.7","8161600","930.7"
"2019-04-12","932","934.2","927","929","6829900","929"
"2019-04-15","935","940.8","933.2","936.4","8623400","936.4"
"2019-04-16","930","938.4","929","934.7","7889500","934.7"
"2019-04-17","937.9","958","937.8","957.5","18739800","957.5"
"2019-04-18","957.5","966","956.8","960.8","14172300","960.8"
"2019-04-19","957.9","957.9","931.3","939.3","18629700","939.3"
"2019-04-22","937.3","947.4","937.3","944.5","6625300","944.5"
"2019-04-23","943.1","946.5","939.4","942.6","10342800","942.6"
"2019-04-24","917","926.4","904","904.9","31788100","904.9"
"2019-04-25","898.6","899.7","876.6","888.9","26085500","888.9"
"2019-04-26","888.7","895.3","876","893.3","16644900","893.3"
"2019-05-07","890","890.6","874.9","878","22575200","878"
"2019-05-08","876.3","878.3","868","873.7","17660500","873.7"
"2019-05-09","868.2","868.2","858.2","858.4","15428100","858.4"
"2019-05-10","863.7","868","855.2","858.5","13390600","858.5"
"2019-05-13","853.5","868.6","848.9","865.7","13601200","865.7"
"2019-05-14","844","862.9","825","840.2","25591500","840.2"
"2019-05-15","795","795.7","772.8","785.8","37086800","785.8"
"2019-05-16","785","799.6","778.9","787.1","24078100","787.1"
"2019-05-17","789.6","790.5","777.6","780.4","16924100","780.4"
"2019-05-20","777.2","781.5","763.9","770.1","15617600","770.1"
"2019-05-21","773","773.4","761.2","771.3","12966900","771.3"
"2019-05-22","769","771.2","755.2","756.1","16637300","756.1"
"2019-05-23","751.5","757.2","744","747.6","15810700","747.6"
"2019-05-24","731","743.9","728","740.6","14238600","740.6"
